,Morgongåva,Brunna,Falun,Ulriksdal,Tomteboda övre,Säter,Heby,Arlanda nedre,Stockholm C,Helenelund,Ekeby,Vikmanshyttan,Uppsala norra,Uppsala c,Broddbo,Solna,Avesta Krylbo,Kummelby,Avesta Centrum,Järlåsa,Rotebro,Säby,Snickarbo,Arlanda Central,Skavstaby,Häggvik,Sollentuna,Ornäs,Hinsnoret,Upplands Väsby,Blackvreten,Knivsta,Norrviken,Isätra,Sala,Rosshyttan,Gustafs,Myrbacken,Stora Tuna,Borlänge c,Karlberg,Hedemora
Morgongåva,0,0,0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Brunna,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Falun,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Ulriksdal,0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Tomteboda övre,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Säter,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,2,0.0,0,0,0.0,0
Heby,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0.0,0
Arlanda nedre,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Stockholm C,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,1.0,0
Helenelund,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Ekeby,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Vikmanshyttan,0,0,0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Uppsala norra,0,2,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Uppsala c,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
