Tåguppdrag,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag
8426.0,U,Tip
2225.0,U,Söc
2251.0,U,Söc
855.0,U,Cst
8423.0,Gä,U
8428.0,U,Gä
8414.0,U,Tip
8454.0,U,Tip
275.0,Gä,Lp
2248.0,Söc,U
845.0,U,Cst
281.0,Ls,Lp
8416.0,U,Gä
17.0,Fln,Cst
272.0,Lp,Gä
843.0,U,Cst
8410.0,U,Gä
268.0,Lp,Ls
263.0,Ls,Cst
98491.0,Tip,U
20.0,Cst,Fln
2255.0,U,Söc
598.0,Cst,Ös
562.0,Cst,Suc
2263.0,U,Söc
566.0,Cst,Suc
8408.0,U,Gä
823.0,U,Cst
57.0,Blg,Cst
582.0,Cst,Uå
2233.0,U,Söc
2257.0,U,Söc
836.0,Cst,U
275.0,Gä,Lp
2232.0,Söc,U
825.0,U,Cst
576.0,Cst,Suc
2240.0,Söc,U
846.0,Cst,U
42.0,Cst,Mra
578.0,Cst,Uå
8420.0,U,Gä
566.0,Cst,Suc
2226.0,Söc,U
2252.0,Söc,U
578.0,Cst,Uå
2230.0,Söc,U
13.0,Fln,Cst
916.0,Hpbg,U
8515.0,Sl,U
815.0,U,Cst
882.0,Cst,U
841.0,U,Cst
583.0,Suc,Cst
2254.0,Söc,U
561.0,Suc,Cst
895.0,U,Cst
8461.0,Gä,U
2239.0,U,Söc
2236.0,Söc,U
271.0,Gä,Cst
56.0,Cst,Blg
576.0,Cst,Suc
8505.0,Sl,U
894.0,Cst,U
598.0,Cst,Ös
896.0,Cst,U
8433.0,Tip,U
9472.0,Bra,Gäb
838.0,Cst,U
893.0,U,Cst
857.0,U,Cst
19.0,Fln,Cst
282.0,Lp,Gä
9472.0,Bra,Gäb
573.0,Uå,Cst
8445.0,Tip,U
2214.0,Söc,U
2219.0,U,Söc
80905.0,U,Hgl
848.0,Cst,U
562.0,Cst,Suc
853.0,U,Cst
277.0,Suc,Lp
264.0,Lp,Suc
816.0,Cst,U
808.0,Cst,U
2222.0,Söc,U
8457.0,Gä,U
8450.0,U,Gä
262.0,Lp,Gä
42.0,Cst,Mra
93.0,Bjf,Cst
828.0,Cst,U
