Tåguppdrag,Datum_PAU,Tågslag,Tågsort,UppehållstypAvgång,UppehållstypAnkomst,AktivitetskodAvgång,AktivitetskodBeskrivningAvgång,AktivitetskodAnkomst,AktivitetskodBeskrivningAnkomst,DelSträckanummer,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag,Avgångsplats,Avgångsplatssignatur,Ankomstplats,Ankomstplatssignatur,PlanAvgTid,PlanAnkTid,UtfAnkTid,UtfAvgTid,PlanAnkTid_vid_AvgPlats,UtfAnkTid_vid_AvgPlats,PlanUppehållstidAvgång,UtfUppehållstidAvgång,PlanGångtid,UtfGångtid,FörseningGångtid,AvgFörsening,AnkFörsening,FörseningUppehållAvgång
17.0,2019-03-04,RST,FJÄRR,Passage,Passage,0,-,0,-,34,Fln,Cst,Häggvik,Hgv,Sollentuna,Sol,2019-03-04 12:06:00.000,2019-03-04 12:06:00.000,2019-03-04 12:13:00.000,2019-03-04 12:12:00.000,2019-03-04 12:06:00.000,2019-03-04 12:12:00.000,0.0,0.0,0,1.0,1.0,6.0,7.0,0.0
17.0,2019-03-06,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,21,Fln,Cst,Uppsala norra,Una,Uppsala c,U,2019-03-06 11:32:00.000,2019-03-06 11:34:00.000,2019-03-06 12:24:00.000,2019-03-06 12:22:00.000,2019-03-06 11:32:00.000,2019-03-06 12:22:00.000,0.0,0.0,2,2.0,0.0,50.0,50.0,0.0
17.0,2019-03-27,RST,FJÄRR,Passage,Passage,0,-,0,-,20,Fln,Cst,Brunna,Bna,Uppsala norra,Una,2019-03-27 11:26:00.000,2019-03-27 11:32:00.000,2019-03-27 11:36:00.000,2019-03-27 11:30:00.000,2019-03-27 11:26:00.000,2019-03-27 11:30:00.000,0.0,0.0,6,6.0,0.0,4.0,4.0,0.0
17.0,2019-03-18,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,7,Fln,Cst,Säter,St,Vikmanshyttan,Vhy,2019-03-18 10:11:00.000,2019-03-18 10:17:00.000,2019-03-18 10:15:00.000,2019-03-18 10:10:00.000,2019-03-18 10:10:00.000,2019-03-18 10:09:00.000,1.0,1.0,6,5.0,-1.0,-1.0,-2.0,0.0
17.0,2019-03-29,RST,FJÄRR,Passage,Passage,0,-,0,-,25,Fln,Cst,Knivsta,Kn,Myrbacken,Myn,2019-03-29 11:44:00.000,2019-03-29 11:46:00.000,2019-03-29 11:47:00.000,2019-03-29 11:46:00.000,2019-03-29 11:44:00.000,2019-03-29 11:46:00.000,0.0,0.0,2,1.0,-1.0,2.0,1.0,0.0
17.0,2019-03-20,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,9,Fln,Cst,Hedemora,Hdm,Snickarbo,Snb,2019-03-20 10:23:00.000,2019-03-20 10:30:00.000,2019-03-20 10:29:00.000,2019-03-20 10:23:00.000,2019-03-20 10:22:00.000,2019-03-20 10:21:00.000,1.0,2.0,7,6.0,-1.0,0.0,-1.0,1.0
17.0,2019-03-08,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,9,Fln,Cst,Hedemora,Hdm,Snickarbo,Snb,2019-03-08 10:23:00.000,2019-03-08 10:30:00.000,2019-03-08 10:29:00.000,2019-03-08 10:23:00.000,2019-03-08 10:22:00.000,2019-03-08 10:21:00.000,1.0,2.0,7,6.0,-1.0,0.0,-1.0,1.0
17.0,2019-03-12,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,3,Fln,Cst,Ornäs,Orn,Borlänge c,Blg,2019-03-12 09:49:00.000,2019-03-12 09:55:00.000,2019-03-12 09:52:00.000,2019-03-12 09:47:00.000,2019-03-12 09:49:00.000,2019-03-12 09:47:00.000,0.0,0.0,6,5.0,-1.0,-2.0,-3.0,0.0
17.0,2019-03-18,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,3,Fln,Cst,Ornäs,Orn,Borlänge c,Blg,2019-03-18 09:49:00.000,2019-03-18 09:55:00.000,2019-03-18 09:52:00.000,2019-03-18 09:47:00.000,2019-03-18 09:49:00.000,2019-03-18 09:47:00.000,0.0,0.0,6,5.0,-1.0,-2.0,-3.0,0.0
17.0,2019-03-06,RST,FJÄRR,Passage,Passage,0,-,0,-,18,Fln,Cst,Morgongåva,Må,Järlåsa,Jla,2019-03-06 11:13:00.000,2019-03-06 11:20:00.000,2019-03-06 12:10:00.000,2019-03-06 12:02:00.000,2019-03-06 11:13:00.000,2019-03-06 12:02:00.000,0.0,0.0,7,8.0,1.0,49.0,50.0,0.0
17.0,2019-03-22,RST,FJÄRR,Passage,Passage,0,-,0,-,5,Fln,Cst,Stora Tuna,Sau,Gustafs,Gtf,2019-03-22 10:02:00.000,2019-03-22 10:04:00.000,2019-03-22 10:10:00.000,2019-03-22 10:07:00.000,2019-03-22 10:02:00.000,2019-03-22 10:07:00.000,0.0,0.0,2,3.0,1.0,5.0,6.0,0.0
17.0,2019-03-06,RST,FJÄRR,Passage,Passage,0,-,0,-,5,Fln,Cst,Stora Tuna,Sau,Gustafs,Gtf,2019-03-06 10:02:00.000,2019-03-06 10:04:00.000,2019-03-06 10:47:00.000,2019-03-06 10:44:00.000,2019-03-06 10:02:00.000,2019-03-06 10:44:00.000,0.0,0.0,2,3.0,1.0,42.0,43.0,0.0
17.0,2019-03-12,RST,FJÄRR,Passage,Passage,0,-,0,-,16,Fln,Cst,Isätra,Ist,Heby,Hy,2019-03-12 11:07:00.000,2019-03-12 11:10:00.000,2019-03-12 11:07:00.000,2019-03-12 11:05:00.000,2019-03-12 11:07:00.000,2019-03-12 11:05:00.000,0.0,0.0,3,2.0,-1.0,-2.0,-3.0,0.0
17.0,2019-03-22,RST,FJÄRR,Passage,Passage,0,-,0,-,18,Fln,Cst,Morgongåva,Må,Järlåsa,Jla,2019-03-22 11:13:00.000,2019-03-22 11:20:00.000,2019-03-22 11:21:00.000,2019-03-22 11:15:00.000,2019-03-22 11:13:00.000,2019-03-22 11:15:00.000,0.0,0.0,7,6.0,-1.0,2.0,1.0,0.0
17.0,2019-03-01,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,8,Fln,Cst,Vikmanshyttan,Vhy,Hedemora,Hdm,2019-03-01 10:17:00.000,2019-03-01 10:22:00.000,2019-03-01 10:21:00.000,2019-03-01 10:17:00.000,2019-03-01 10:17:00.000,2019-03-01 10:17:00.000,0.0,0.0,5,4.0,-1.0,0.0,-1.0,0.0
17.0,2019-03-04,RST,FJÄRR,Passage,Passage,0,-,0,-,31,Fln,Cst,Upplands Väsby,Upv,Rotebro,R,2019-03-04 12:02:00.000,2019-03-04 12:04:00.000,2019-03-04 12:11:00.000,2019-03-04 12:07:00.000,2019-03-04 12:02:00.000,2019-03-04 12:07:00.000,0.0,0.0,2,4.0,2.0,5.0,7.0,0.0
17.0,2019-03-04,RST,FJÄRR,Passage,Passage,0,-,0,-,18,Fln,Cst,Morgongåva,Må,Järlåsa,Jla,2019-03-04 11:13:00.000,2019-03-04 11:20:00.000,2019-03-04 11:28:00.000,2019-03-04 11:21:00.000,2019-03-04 11:13:00.000,2019-03-04 11:21:00.000,0.0,0.0,7,7.0,0.0,8.0,8.0,0.0
17.0,2019-03-19,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,9,Fln,Cst,Hedemora,Hdm,Snickarbo,Snb,2019-03-19 10:23:00.000,2019-03-19 10:30:00.000,2019-03-19 10:32:00.000,2019-03-19 10:25:00.000,2019-03-19 10:22:00.000,2019-03-19 10:23:00.000,1.0,2.0,7,7.0,0.0,2.0,2.0,1.0
17.0,2019-03-15,RST,FJÄRR,Passage,Passage,0,-,0,-,29,Fln,Cst,Blackvreten,Bvr,Skavstaby,Skby,2019-03-15 11:58:00.000,2019-03-15 12:01:00.000,2019-03-15 12:00:00.000,2019-03-15 11:57:00.000,2019-03-15 11:58:00.000,2019-03-15 11:57:00.000,0.0,0.0,3,3.0,0.0,-1.0,-1.0,0.0
17.0,2019-03-18,RST,FJÄRR,Passage,Passage,0,-,0,-,29,Fln,Cst,Blackvreten,Bvr,Skavstaby,Skby,2019-03-18 11:58:00.000,2019-03-18 12:01:00.000,2019-03-18 12:00:00.000,2019-03-18 11:57:00.000,2019-03-18 11:58:00.000,2019-03-18 11:57:00.000,0.0,0.0,3,3.0,0.0,-1.0,-1.0,0.0
17.0,2019-03-05,RST,FJÄRR,Passage,Passage,0,-,0,-,30,Fln,Cst,Skavstaby,Skby,Upplands Väsby,Upv,2019-03-05 12:01:00.000,2019-03-05 12:02:00.000,2019-03-05 12:00:00.000,2019-03-05 12:00:00.000,2019-03-05 12:01:00.000,2019-03-05 12:00:00.000,0.0,0.0,1,0.0,-1.0,-1.0,-2.0,0.0
17.0,2019-03-01,RST,FJÄRR,Passage,Passage,0,-,0,-,30,Fln,Cst,Skavstaby,Skby,Upplands Väsby,Upv,2019-03-01 12:01:00.000,2019-03-01 12:02:00.000,2019-03-01 12:01:00.000,2019-03-01 12:00:00.000,2019-03-01 12:01:00.000,2019-03-01 12:00:00.000,0.0,0.0,1,1.0,0.0,-1.0,-1.0,0.0
17.0,2019-03-14,RST,FJÄRR,Passage,Passage,0,-,0,-,40,Fln,Cst,Tomteboda övre,Tmö,Karlberg,Ke,2019-03-14 12:10:00.000,2019-03-14 12:12:00.000,2019-03-14 12:12:00.000,2019-03-14 12:11:00.000,2019-03-14 12:10:00.000,2019-03-14 12:11:00.000,0.0,0.0,2,1.0,-1.0,1.0,0.0,0.0
17.0,2019-03-07,RST,FJÄRR,Passage,Passage,0,-,0,-,24,Fln,Cst,Ekeby,Eby,Knivsta,Kn,2019-03-07 11:41:00.000,2019-03-07 11:44:00.000,2019-03-07 11:47:00.000,2019-03-07 11:41:00.000,2019-03-07 11:41:00.000,2019-03-07 11:41:00.000,0.0,0.0,3,6.0,3.0,0.0,3.0,0.0
17.0,2019-03-06,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,12,Fln,Cst,Avesta Krylbo,Avky,Rosshyttan,Ry,2019-03-06 10:41:00.000,2019-03-06 10:47:00.000,2019-03-06 11:27:00.000,2019-03-06 11:20:00.000,2019-03-06 10:37:00.000,2019-03-06 11:19:00.000,4.0,1.0,6,7.0,1.0,39.0,40.0,-3.0
17.0,2019-03-12,RST,FJÄRR,Passage,Passage,0,-,0,-,29,Fln,Cst,Blackvreten,Bvr,Skavstaby,Skby,2019-03-12 11:58:00.000,2019-03-12 12:01:00.000,2019-03-12 12:00:00.000,2019-03-12 11:58:00.000,2019-03-12 11:58:00.000,2019-03-12 11:58:00.000,0.0,0.0,3,2.0,-1.0,0.0,-1.0,0.0
17.0,2019-03-21,RST,FJÄRR,Passage,Passage,0,-,0,-,17,Fln,Cst,Heby,Hy,Morgongåva,Må,2019-03-21 11:10:00.000,2019-03-21 11:13:00.000,2019-03-21 11:17:00.000,2019-03-21 11:13:00.000,2019-03-21 11:10:00.000,2019-03-21 11:13:00.000,0.0,0.0,3,4.0,1.0,3.0,4.0,0.0
17.0,2019-03-04,RST,FJÄRR,Passage,Passage,0,-,0,-,33,Fln,Cst,Norrviken,Nvk,Häggvik,Hgv,2019-03-04 12:05:00.000,2019-03-04 12:06:00.000,2019-03-04 12:12:00.000,2019-03-04 12:11:00.000,2019-03-04 12:05:00.000,2019-03-04 12:11:00.000,0.0,0.0,1,1.0,0.0,6.0,6.0,0.0
17.0,2019-03-18,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Fln,Cst,Uppsala c,U,Säby,Säy,2019-03-18 11:36:00.000,2019-03-18 11:39:00.000,2019-03-18 11:38:00.000,2019-03-18 11:35:00.000,2019-03-18 11:34:00.000,2019-03-18 11:32:00.000,2.0,3.0,3,3.0,0.0,-1.0,-1.0,1.0
17.0,2019-03-08,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,4,Fln,Cst,Borlänge c,Blg,Stora Tuna,Sau,2019-03-08 09:57:00.000,2019-03-08 10:02:00.000,2019-03-08 10:02:00.000,2019-03-08 09:56:00.000,2019-03-08 09:55:00.000,2019-03-08 09:53:00.000,2.0,3.0,5,6.0,1.0,-1.0,0.0,1.0
