Tåguppdrag,Datum_PAU,Tågslag,Tågsort,UppehållstypAvgång,UppehållstypAnkomst,AktivitetskodAvgång,AktivitetskodBeskrivningAvgång,AktivitetskodAnkomst,AktivitetskodBeskrivningAnkomst,DelSträckanummer,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag,Avgångsplats,Avgångsplatssignatur,Ankomstplats,Ankomstplatssignatur,PlanAvgTid,PlanAnkTid,UtfAnkTid,UtfAvgTid,PlanAnkTid_vid_AvgPlats,UtfAnkTid_vid_AvgPlats,PlanUppehållstidAvgång,UtfUppehållstidAvgång,PlanGångtid,UtfGångtid,FörseningGångtid,AvgFörsening,AnkFörsening,FörseningUppehållAvgång
17.0,2019-03-27,RST,FJÄRR,Första,Passage,1,Påstigande av resande,0,-,1,Fln,Cst,Falun,Fln,Hinsnoret,Hno,2019-03-27 09:38:00,2019-03-27 09:44:00,2019-03-27 09:43:00.000,2019-03-27 09:37:00.000,,,,,6,6.0,0.0,-1.0,-1.0,
17.0,2019-03-27,RST,FJÄRR,Passage,Passage,0,-,0,-,2,Fln,Cst,Hinsnoret,Hno,Ornäs,Orn,2019-03-27 09:44:00,2019-03-27 09:49:00,2019-03-27 09:48:00.000,2019-03-27 09:43:00.000,2019-03-27 09:44:00.000,2019-03-27 09:43:00.000,0.0,0.0,5,5.0,0.0,-1.0,-1.0,0.0
17.0,2019-03-27,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,3,Fln,Cst,Ornäs,Orn,Borlänge c,Blg,2019-03-27 09:49:00,2019-03-27 09:55:00,2019-03-27 09:53:00.000,2019-03-27 09:48:00.000,2019-03-27 09:49:00.000,2019-03-27 09:48:00.000,0.0,0.0,6,5.0,-1.0,-1.0,-2.0,0.0
17.0,2019-03-27,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,4,Fln,Cst,Borlänge c,Blg,Stora Tuna,Sau,2019-03-27 09:57:00,2019-03-27 10:02:00,2019-03-27 10:02:00.000,2019-03-27 09:58:00.000,2019-03-27 09:55:00.000,2019-03-27 09:53:00.000,2.0,5.0,5,4.0,-1.0,1.0,0.0,3.0
17.0,2019-03-27,RST,FJÄRR,Passage,Passage,0,-,0,-,5,Fln,Cst,Stora Tuna,Sau,Gustafs,Gtf,2019-03-27 10:02:00,2019-03-27 10:04:00,2019-03-27 10:05:00.000,2019-03-27 10:02:00.000,2019-03-27 10:02:00.000,2019-03-27 10:02:00.000,0.0,0.0,2,3.0,1.0,0.0,1.0,0.0
17.0,2019-03-27,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,6,Fln,Cst,Gustafs,Gtf,Säter,St,2019-03-27 10:04:00,2019-03-27 10:10:00,2019-03-27 10:10:00.000,2019-03-27 10:05:00.000,2019-03-27 10:04:00.000,2019-03-27 10:05:00.000,0.0,0.0,6,5.0,-1.0,1.0,0.0,0.0
17.0,2019-03-27,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,7,Fln,Cst,Säter,St,Vikmanshyttan,Vhy,2019-03-27 10:11:00,2019-03-27 10:17:00,2019-03-27 10:18:00.000,2019-03-27 10:12:00.000,2019-03-27 10:10:00.000,2019-03-27 10:10:00.000,1.0,2.0,6,6.0,0.0,1.0,1.0,1.0
17.0,2019-03-27,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,8,Fln,Cst,Vikmanshyttan,Vhy,Hedemora,Hdm,2019-03-27 10:17:00,2019-03-27 10:22:00,2019-03-27 10:22:00.000,2019-03-27 10:18:00.000,2019-03-27 10:17:00.000,2019-03-27 10:18:00.000,0.0,0.0,5,4.0,-1.0,1.0,0.0,0.0
17.0,2019-03-27,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,9,Fln,Cst,Hedemora,Hdm,Snickarbo,Snb,2019-03-27 10:23:00,2019-03-27 10:30:00,2019-03-27 10:30:00.000,2019-03-27 10:23:00.000,2019-03-27 10:22:00.000,2019-03-27 10:22:00.000,1.0,1.0,7,7.0,0.0,0.0,0.0,0.0
17.0,2019-03-27,RST,FJÄRR,Passage,Passage,0,-,0,-,10,Fln,Cst,Snickarbo,Snb,Avesta Centrum,Acm,2019-03-27 10:30:00,2019-03-27 10:33:00,2019-03-27 10:33:00.000,2019-03-27 10:30:00.000,2019-03-27 10:30:00.000,2019-03-27 10:30:00.000,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0
17.0,2019-03-27,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,11,Fln,Cst,Avesta Centrum,Acm,Avesta Krylbo,Avky,2019-03-27 10:33:00,2019-03-27 10:37:00,2019-03-27 10:37:00.000,,2019-03-27 10:33:00.000,2019-03-27 10:33:00.000,0.0,,4,,,,0.0,
17.0,2019-03-27,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,12,Fln,Cst,Avesta Krylbo,Avky,Rosshyttan,Ry,2019-03-27 10:41:00,2019-03-27 10:47:00,2019-03-27 10:46:00.000,2019-03-27 10:39:00.000,2019-03-27 10:37:00.000,2019-03-27 10:37:00.000,4.0,2.0,6,7.0,1.0,-2.0,-1.0,-2.0
17.0,2019-03-27,RST,FJÄRR,Passage,Passage,0,-,0,-,13,Fln,Cst,Rosshyttan,Ry,Broddbo,Bdo,2019-03-27 10:47:00,2019-03-27 10:53:00,2019-03-27 10:52:00.000,2019-03-27 10:46:00.000,2019-03-27 10:47:00.000,2019-03-27 10:46:00.000,0.0,0.0,6,6.0,0.0,-1.0,-1.0,0.0
17.0,2019-03-27,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,14,Fln,Cst,Broddbo,Bdo,Sala,Sl,2019-03-27 10:53:00,2019-03-27 10:59:00,2019-03-27 10:57:00.000,2019-03-27 10:52:00.000,2019-03-27 10:53:00.000,2019-03-27 10:52:00.000,0.0,0.0,6,5.0,-1.0,-1.0,-2.0,0.0
17.0,2019-03-27,RST,FJÄRR,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,15,Fln,Cst,Sala,Sl,Isätra,Ist,2019-03-27 11:02:00,2019-03-27 11:07:00,2019-03-27 11:10:00.000,2019-03-27 11:05:00.000,2019-03-27 10:59:00.000,2019-03-27 10:57:00.000,3.0,8.0,5,5.0,0.0,3.0,3.0,5.0
17.0,2019-03-27,RST,FJÄRR,Passage,Passage,0,-,0,-,16,Fln,Cst,Isätra,Ist,Heby,Hy,2019-03-27 11:07:00,2019-03-27 11:10:00,2019-03-27 11:13:00.000,2019-03-27 11:10:00.000,2019-03-27 11:07:00.000,2019-03-27 11:10:00.000,0.0,0.0,3,3.0,0.0,3.0,3.0,0.0
17.0,2019-03-27,RST,FJÄRR,Passage,Passage,0,-,0,-,17,Fln,Cst,Heby,Hy,Morgongåva,Må,2019-03-27 11:10:00,2019-03-27 11:13:00,2019-03-27 11:17:00.000,2019-03-27 11:13:00.000,2019-03-27 11:10:00.000,2019-03-27 11:13:00.000,0.0,0.0,3,4.0,1.0,3.0,4.0,0.0
17.0,2019-03-27,RST,FJÄRR,Passage,Passage,0,-,0,-,18,Fln,Cst,Morgongåva,Må,Järlåsa,Jla,2019-03-27 11:13:00,2019-03-27 11:20:00,2019-03-27 11:24:00.000,2019-03-27 11:17:00.000,2019-03-27 11:13:00.000,2019-03-27 11:17:00.000,0.0,0.0,7,7.0,0.0,4.0,4.0,0.0
17.0,2019-03-27,RST,FJÄRR,Passage,Passage,0,-,0,-,19,Fln,Cst,Järlåsa,Jla,Brunna,Bna,2019-03-27 11:20:00,2019-03-27 11:26:00,2019-03-27 11:30:00.000,2019-03-27 11:24:00.000,2019-03-27 11:20:00.000,2019-03-27 11:24:00.000,0.0,0.0,6,6.0,0.0,4.0,4.0,0.0
17.0,2019-03-27,RST,FJÄRR,Passage,Passage,0,-,0,-,20,Fln,Cst,Brunna,Bna,Uppsala norra,Una,2019-03-27 11:26:00,2019-03-27 11:32:00,2019-03-27 11:36:00.000,2019-03-27 11:30:00.000,2019-03-27 11:26:00.000,2019-03-27 11:30:00.000,0.0,0.0,6,6.0,0.0,4.0,4.0,0.0
